i,j,minutos
8,91,161
8,92,164
8,93,158
8,94,150
8,95,143
8,96,159
8,97,315
8,98,316
9,1,35
9,2,36
9,3,32
9,4,414
9,5,415
9,6,412
9,7,385
9,8,389
9,9,384
9,10,35
9,11,33
9,12,25
9,13,92
9,14,90
9,15,87
9,16,325
9,17,324
9,18,324
9,19,201
9,20,196
9,21,194
9,22,28
9,23,28
9,24,14
9,25,5
9,26,11
9,27,285
9,28,285
9,29,11902
9,30,11902
9,31,11900
9,32,277
9,33,279
9,34,280
9,35,257
9,36,256
9,37,386
9,38,389
9,39,388
9,40,207
9,41,208
9,42,209
9,43,311
9,44,308
9,45,308
9,46,389
9,47,393
9,48,390
9,49,302
9,50,310
9,51,299
9,52,221
9,53,227
9,54,376
9,55,353
9,56,490
9,57,490
9,58,277
9,59,267
9,60,412
9,61,410
9,62,415
9,63,244
9,64,243
9,65,244
9,66,163
9,67,168
9,68,163
9,69,249
9,70,250
9,71,253
9,72,369
9,73,369
9,74,55
9,75,53
9,76,53
9,77,404
9,78,402
9,79,386
9,80,382
9,81,380
9,82,397
9,83,398
9,84,396
9,85,60
9,86,60
9,87,74
9,88,152
9,89,152
9,90,151
9,91,173
9,92,176
9,93,171
9,94,168
9,95,161
9,96,176
9,97,334
9,98,335
10,1,259
10,2,259
10,3,262
10,4,136
10,5,137
10,6,134
10,7,164
10,8,171
10,9,171
10,10,300
10,11,302
10,12,294
10,13,202
10,14,203
10,15,205
10,16,56
10,17,56
10,18,56
10,19,122
10,20,126
10,21,127
10,22,273
10,23,271
10,24,281
10,25,283
10,26,290
10,27,1
10,28,1
10,29,12053
10,30,12053
10,31,12052
10,32,21
10,33,18
10,34,18
10,35,31
10,36,32
10,37,130
10,38,129
10,39,129
10,40,78
10,41,77
10,42,76
10,43,61
10,44,59
10,45,59
10,46,161
10,47,167
10,48,165
10,49,35
10,50,44
10,51,33
10,52,71
10,53,69
10,54,124
10,55,138
10,56,208
10,57,208
10,58,87
10,59,105
10,60,142
10,61,141
10,62,145
10,63,43
10,64,44
10,65,43
10,66,132
10,67,120
10,68,127
10,69,118
10,70,117
10,71,118
10,72,138
10,73,140
10,74,325
10,75,322
10,76,324
10,77,171
10,78,171
10,79,136
10,80,129
10,81,126
10,82,149
10,83,150
10,84,149
10,85,332
10,86,334
10,87,342
10,88,165
10,89,168
10,90,165
10,91,113
10,92,110
10,93,116
10,94,142
10,95,143
10,96,127
10,97,129
10,98,130
11,1,11896
11,2,11896
11,3,11896
11,4,12078
11,5,12079
11,6,12075
11,7,12216
11,8,12222
11,9,12221
11,10,11922
11,11,11918
11,12,11917
11,13,11974
11,14,11972
11,15,11969
11,16,12108
11,17,12108
11,18,12108
11,19,11939
11,20,11936
11,21,11936
11,22,11888
11,23,11890
11,24,11892
11,25,11898
11,26,11908
11,27,12053
11,28,12053
11,29,3
11,30,7
11,31,3
11,32,12032
11,33,12035
11,34,12035
11,35,12027
11,36,12026
11,37,12022
11,38,12028
11,39,12028
11,40,12016
11,41,12014
11,42,12014
