id,rbd,nombre,comuna,lat,lon,matricula,cap_j,f_j,o_j,req_j
20,14605,COLEGIO VILLA ACONCAGUA,Concon,-32.935699,-71.530746,1060,636,180,20,2
21,1783,COLEGIO BRITANICO ST. MARGARET`S S.A.,Concon,-32.940032,-71.53174,950,570,180,20,2
22,2078,COMPLEJO EDUCACIONAL CLARA SOLOVERA,El Quisco,-33.40221,-71.694206,721,433,180,20,2
23,2083,ESC.PART. SAN MIGUEL ARCANGEL,El Quisco,-33.39959,-71.686974,439,263,180,20,2
24,2079,ESCUELA POETA NERUDA DE ISLA NEGRA,El Quisco,-33.43993,-71.680313,418,251,180,20,2
25,2075,COLEGIO EL TABO,El Tabo,-33.4589,-71.659286,955,573,180,20,2
26,2074,ESCUELA BASICA LAS CRUCES,El Tabo,-33.496269,-71.628128,414,248,180,20,2
27,11177,COLEGIO PARROQUIAL SAN NICOLAS,Hijuelas,-32.799671,-71.145668,978,587,180,20,2
28,1453,LICEO MUNICIPAL LUIS LABORDA,Hijuelas,-32.80209,-71.14489,728,437,180,20,2
29,2101,COLEGIO BASICO LORENZO BAEZA VEGA,Isla de Pascua,-27.147522,-109.426625,600,360,180,20,2
30,14881,LICEO ALDEA EDUCATIVA RAPA NUI,Isla de Pascua,-27.123316,-109.4166,406,244,180,20,2
31,14860,COLEGIO HERMANO EUGENIO EYRAUD,Isla de Pascua,-27.149513,-109.422775,369,221,180,20,2
32,14210,COLEGIO BECARB II,La Calera,-32.794159,-71.214104,1124,674,180,20,2
33,14506,COLEGIO APUMANQUE,La Calera,-32.792591,-71.203621,1104,662,180,20,2
