i,j,t,g,a_ijtg
29,57,7,moderado,3.0
29,58,2,moderado,11.0
29,58,3,moderado,11.0
29,58,4,leve,30.0
29,58,5,leve,30.0
30,44,3,moderado,30.0
30,44,4,leve,0.5
30,44,4,moderado,31.0
30,44,5,leve,66.5
30,57,4,leve,126.0
30,57,5,leve,40.5
30,57,5,moderado,13.4
30,57,6,leve,104.5
30,57,6,moderado,18.0
30,57,7,leve,40.0
30,57,7,moderado,14.0
30,58,2,moderado,30.0
30,58,3,moderado,36.0
30,58,4,leve,126.0
30,58,5,moderado,4.6
31,44,3,moderado,8.0
31,57,4,leve,23.0
31,57,4,moderado,4.0
31,57,5,leve,23.0
31,57,5,moderado,3.0
31,57,6,moderado,3.0
31,57,7,leve,22.0
31,57,7,moderado,3.0
31,58,2,moderado,8.0
31,58,3,moderado,3.0
31,58,5,leve,23.0
32,20,2,moderado,3.0
32,20,3,moderado,4.0
32,20,4,leve,5.5
32,20,4,moderado,4.0
32,20,6,leve,10.0
32,20,6,moderado,1.0
32,20,7,leve,3.5
32,20,7,moderado,1.0
32,53,5,leve,10.0
32,53,6,leve,10.0
32,62,5,moderado,1.0
33,15,5,leve,47.5
33,15,5,moderado,60.0
33,15,6,leve,210.0
33,15,7,moderado,20.8
33,16,6,moderado,60.0
33,16,7,leve,58.5
33,63,5,leve,390.0
33,63,6,leve,330.0
33,63,7,leve,243.0
33,73,1,moderado,36.0
33,73,2,moderado,36.0
33,73,3,moderado,36.0
33,74,1,moderado,48.0
33,74,2,moderado,48.0
33,74,3,moderado,84.0
33,83,4,moderado,143.0
33,83,7,leve,426.0
33,83,7,moderado,27.2
34,27,1,moderado,69.0
34,28,5,leve,156.0
34,28,5,moderado,3.2
34,28,6,moderado,27.0
34,28,7,moderado,22.0
34,66,2,moderado,55.0
34,76,5,moderado,24.8
34,76,6,leve,196.0
34,76,7,leve,95.0
34,83,7,leve,196.0
34,84,3,moderado,41.0
34,84,4,leve,140.0
34,84,4,moderado,33.0
35,15,4,leve,210.0
35,15,4,moderado,48.0
35,15,7,leve,501.0
35,15,7,moderado,56.0
35,16,5,leve,501.0
35,16,5,moderado,70.0
35,16,6,leve,341.0
35,16,6,moderado,58.4
35,66,1,moderado,132.0
35,66,2,moderado,77.0
35,66,3,moderado,156.0
35,76,1,moderado,30.0
35,76,2,moderado,28.0
35,76,6,moderado,11.6
35,83,4,moderado,37.0
35,83,5,leve,90.0
35,83,6,leve,360.0
36,70,4,leve,12.0
36,70,4,moderado,4.0
36,70,5,leve,12.0
36,70,5,moderado,4.0
36,70,6,leve,12.0
36,70,6,moderado,4.0
36,70,7,leve,11.0
36,70,7,moderado,4.0
