EstablecimientoCodigoAntiguo,EstablecimientoCodigo,EstablecimientoCodigoMadreAntiguo,EstablecimientoCodigoMadreNuevo,RegionCodigo,RegionGlosa,SeremiSaludCodigo_ServicioDeSaludCodigo,SeremiSaludGlosa_ServicioDeSaludGlosa,TipoPertenenciaEstabGlosa,TipoEstablecimientoGlosa,AmbitoFuncionamiento,EstablecimientoGlosa,Certificacion,DependenciaAdministrativa,NivelAtencionEstabglosa,ComunaCodigo,ComunaGlosa,TipoViaGlosa,Numero,NombreVia,TelefonoMovil_TelefonoFijo,FechaInicioFuncionamientoEstab,TieneServicioUrgencia,TipoUrgencia,ClasificacionTipoSapu,Latitud,Longitud,TipoSistemaSaludGlosa,EstadoFuncionamiento,NivelComplejidadEstabGlosa,TipoAtencionEstabGlosa,FechaIncorporacion,FechaCierre,F_REAPER,F_CAMBIO,TIPO_CAMB,COORD_X,COORD_Y,alias,tipo_estrategia,observacion,nombre_comun,Camas2023,Altitud_m
07-101,107101,,,05,Valparaíso,07,Servicio de Salud Viña del Mar Quillota,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Biprovincial Quillota Petorca,Autogestionado en Red (EAR),Servicio de Salud,Terciario,05501,Quillota,Calle,2200,O´higgins,5633229800,11-10-2022,SI,Urgencia Hospitalaria (UEH),No Aplica,-32.87993,-71.257745,Público,Vigente en Operación Habitual,Alta Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,290.0,121.0
08-204,108204,,,05,Valparaíso,05,SEREMI de Salud de Valparaíso,No Perteneciente al Sistema Nacional de Servicios de Salud,Clínica,Establecimiento de Salud,Clínica Río Blanco,No Aplica,Privado,Terciario,05301,Los Andes,Avenida,777,Santa María,342460000,01-01-2009,SI,Urgencia Hospitalaria (UEH),No Aplica,-32.844691,-70.601882,Privado,Vigente en Operación Habitual,Baja Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,27.0,812.0
08-102,108102,,,05,Valparaíso,08,Servicio de Salud Aconcagua,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital San Francisco (Llaillay),No Aplica,Servicio de Salud,,05703,Llaillay,Calle,76,San Francisco,342492800,,SI,Urgencia Hospitalaria (UEH),No Aplica,-32.84277,-70.95495,Público,Vigente en Operación Habitual,Baja Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,37.0,388.0
08-101,108101,,,05,Valparaíso,08,Servicio de Salud Aconcagua,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital San Juan de Dios (Los Andes),Autogestionado en Red (EAR),Servicio de Salud,Terciario,05301,Los Andes,Avenida,315,Argentina,342490300,,SI,Urgencia Hospitalaria (UEH),No Aplica,-32.829664,-70.59643,Público,Vigente en Operación Habitual,Alta Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,168.0,827.0
07-103,107103,,,05,Valparaíso,07,Servicio de Salud Viña del Mar Quillota,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Dr. Mario Sánchez Vergara (La Calera),No Aplica,Servicio de Salud,,05502,Calera,Calle,1603,Carrera,332293192,,SI,Urgencia Hospitalaria (UEH),No Aplica,-32.7926,-71.20454,Público,Vigente en Operación Habitual,Baja Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,45.0,204.0
07-222,107222,,,05,Valparaíso,05,SEREMI de Salud de Valparaíso,No Perteneciente al Sistema Nacional de Servicios de Salud,Clínica,Establecimiento de Salud,Clínica Los Leones,No Aplica,Privado,Terciario,05502,Calera,Avenida,54,Latorre,332222630,01-01-2009,SI,Urgencia Hospitalaria (UEH),No Aplica,-32.790085,-71.183588,Privado,Vigente en Operación Habitual,Baja Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,35.0,221.0
07-108,107108,,,05,Valparaíso,07,Servicio de Salud Viña del Mar Quillota,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Adriana Cousiño (Quintero),No Aplica,Servicio de Salud,,05107,Quintero,Calle,380,Aránguiz Tudela,322578900,,SI,Urgencia Hospitalaria (UEH),No Aplica,-32.77924,-71.53116,Público,Vigente en Operación Habitual,Baja Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,31.0,17.0
08-100,108100,,,05,Valparaíso,08,Servicio de Salud Aconcagua,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital San Camilo de San Felipe,Autogestionado en Red (EAR),Servicio de Salud,Terciario,05701,San Felipe,Calle,2085,Miraflores,342493307,,SI,Urgencia Hospitalaria (UEH),No Aplica,-32.74977,-70.708992,Público,Vigente en Operación Habitual,Alta Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,221.0,662.0
08-104,108104,,,05,Valparaíso,08,Servicio de Salud Aconcagua,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital San Antonio (Putaendo),No Aplica,Servicio de Salud,,05705,Putaendo,Avenida,186,Alessandri,342492700,,SI,Urgencia Hospitalaria (UEH),No Aplica,-32.622065,-70.717848,Público,Vigente en Operación Habitual,Baja Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,28.0,823.0
07-105,107105,,,05,Valparaíso,07,Servicio de Salud Viña del Mar Quillota,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital San Agustín (La Ligua),No Aplica,Servicio de Salud,,05401,La Ligua,Calle,1020,Dr. Víctor Díaz,332293490,,SI,Urgencia Hospitalaria (UEH),No Aplica,-32.45048,-71.23798,Público,Vigente en Operación Habitual,Baja Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,59.0,65.0
07-106,107106,,,05,Valparaíso,07,Servicio de Salud Viña del Mar Quillota,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital Dr. Víctor Hugo Moll (Cabildo),No Aplica,Servicio de Salud,,05402,Cabildo,Calle,,Aníbal Pinto,332293400,,SI,Urgencia Hospitalaria (UEH),No Aplica,-32.428287,-71.067794,Público,Vigente en Operación Habitual,Baja Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,21.0,180.0
07-107,107107,,,05,Valparaíso,07,Servicio de Salud Viña del Mar Quillota,Perteneciente al Sistema Nacional de Servicios de Salud,Hospital,Establecimiento de Salud,Hospital de Petorca,No Aplica,Servicio de Salud,,05404,Petorca,Calle,860,Manuel Montt,332293610,,SI,Urgencia Hospitalaria (UEH),No Aplica,-32.25196,-70.92884,Público,Vigente en Operación Habitual,Baja Complejidad,Atención Cerrada-Hospitalaria,,,,,,,,,,,,18.0,504.0
